news_title,news
High inflation is hitting people on fixed disability benefits hard,"Even before inflation started rising, Murray and Linda Mann said it was hard for their son Kevin to make ends meet.,Kevin, 58, has a range of health problems, including systemic lupus, which has affected his kidneys. He spends a lot of time in and out of hospital, sometimes for months at a time. As a result, he is unable to work and relies on Canada Pension Plan disability benefits from the federal government, and a small pension from his former job to survive on less than $17,000 a year.,Every month is a financial stretch, and inflation is making it harder.,""Money is real tight for Kevin and it has been for 25 years,"" said his father Murray in a recent interview from their home in Belleville, Ont.,""And Kevin is not the only one,"" added Linda. ""There are so many people below the poverty line and with disabilities."",People with disabilities have a higher poverty rate and a lower rate of employment than the overall population, according to , Advocates say it is a longstanding, systemic problem that inflation is making worse.,Murray said Kevin's pension from his former job is not indexed to inflation, so it doesn't rise as costs escalate. While the federal benefits are indexed, they lag behind actual inflation, so he said the increases haven't caught up to the ,The Manns would like to see more support for people with disabilities, like an income supplement that would put them above the poverty line and help offset rising costs for food, shelter and other goods.,Guillaume Parent, director of the wealth management firm Finandicap, specializes in financial services for people with disabilities. For his clients, there are often extra costs to shoulder, like adapted housing and transit, and personal support workers.,Those expenses push the poverty line higher for people with disabilities and governments need to recognize that and adjust to it, said Parent, who has cerebral palsy.,Quebec's disability benefits are indexed to inflation, but Parent said those increases come long after prices have already gone up.,""People are suffering a lot,"" he said, adding he has clients who are no longer able to cover their basic costs.,In Ontario, people with disabilities can apply for the Ontario Disability Support Program (ODSP), which provides income support for qualifying adults with disabilities.,Pascal Kakule, an organiser with the Ottawa chapter of the advocacy group Acorn, uses a wheelchair and relies on ODSP to make ends meet.,The amount he gets, he said, falls short of what he needs, particularly in the face of today's fast-rising prices. What's more, his wife works part-time, which means he is eligible for less money from the province, and the rates have been frozen since 2018.,""That kind of system they are working with, it's very very difficult for people to survive,"" Kakule said.,Kakule,are calling on Ontario to raise its ODSP rates and reduce clawbacks affecting him and others.,A spokesperson for Ontario's Minister of Children, Community and Social Services Merrilee Fullerton said in a statement the provincial government raised social assistance rates by 1.5 per cent when it took office in 2018, and that it's waiting for the federal government to deliver on a promise to create a Canada Disability Benefit, to help boost support.,That legislation, aimed at increasing the monthly incomes of Canadians with disabilities, was introduced by the federal government in 2021, but , died when the federal election was called and the government has yet to re-introduce it.,Carla Qualtrough, the federal minister of employment, workforce development and disability inclusion, said in a statement she plans to revive the bill, but did not give a timeline.,Existing financial help available to people with disabilities varies from province to province and they can be hard to navigate, said financial planner David Truong, chief adviser of private banking with the National Bank in Montreal.,""Not everyone is aware of those programs, that they're out there a lot and not all of them are easy to understand,"" he said.,""Seek out for advice and try to get the most out of the government programs that are available for you."""
,
Why some RBC customers were wondering where their money went,"It was a surprising discovery for Tanya Shields first thing Friday morning.,The resident of Fall River, N.S., said she logged on to her Royal Bank of Canada (RBC) account to pay some bills with money she received via e-transfer from clients of her small business.,But the money wasn't there.,""It was a little bit alarming,"" Shields said.,She had received confirmation on Thursday night that the money had been successfully transferred, so the fact that it was missing was a concern.,Shields even had her husband transfer money to her in order to ensure that things were working correctly. His deposit transferred successfully.,""Which was more concerning than the money not being there in the first place,"" she said.,Shields says she checked social media and the bank's website, but there was no information that addressed the problem she was having.,She knew banks were closed on Friday and Monday due to the Easter weekend and was concerned she would end up worrying about this for days.,CBC News heard from other bank customers who experienced similar issues.,Jeff Black, a Halifax-based weapons engineering technician with the Royal Canadian Navy, says he logged on to his RBC account on Friday morning and discovered that the $2,355.97 automatically deposited via e-transfers on Thursday was missing.,The money was going to be used to pay off his property taxes and for supplies needed before he heads out to sea for three weeks.,""It did make me nervous at first, considering I received a great deal of money yesterday, and then it was all gone,"" he said.,It was a similar story for Christine Hunt, a controller and administrative worker in Newmarket, Ont. She logged on to her account to find money missing and her account overdrawn.,""I was in a complete panic because that's $1,000. Where did it go? And the fact that it doesn't even say it bounced. It's like it never happened,"" she said Friday.,Hunt found the e-transfer deposit confirmation email but still called RBC to find the missing money. She says she waited on the line for two hours before hanging up.,With her bank account in negative territory, she withdrew $200 from her line of credit to cover a prepayment. But she still has no answers as to when she'll get the money back.,""I don't know what's going to happen. Are they going to charge me because I did go into the red?"" Hunt said. ""The fact that it's not even listed as ever deposited — it's just blank — is just so weird."",Hi Shelley, thanks for your message. We are currently experiencing an issue with e-Transfers, that is resulting in recently deposited transfers no longer showing. We're working to have this resolved ASAP, and we appreciate your patience ^SB,In an emailed statement to CBC News on Friday evening, RBC said it has ""resolved the earlier reported issue of account transfers and e-transfers involving auto-deposits recipients. Clients should now expect to see the funds reflected in their accounts."",The bank went on to say it will ""reimburse the small number of clients that may have incurred charges or fees as a result of this technical issue. We apologize for any inconvenience this may have caused and thank our clients for their patience while we worked to resolve the matter."",Earlier in the day, RBC said it had experienced a technical issue with some e-transfers.,""Auto-deposit e-transfers sent between Wednesday, April 13, midnight ET and Thursday, April 14, 11:30 p.m. ET, may not be appearing in client accounts,"" reads the statement, posted on RBC's mobile banking app.,""E-transfers sent outside of that time period are not impacted. We are working to post these entries and reflect accurate account balances as quickly as possible."",A spokesperson for Interac, the primary funds transfer network in Canada, said its service was ""functioning normally"" but that it was aware one of its ""financial institution partners is experiencing an issue on their end."",By Friday evening, some customers, including Jeff Black, confirmed to CBC News that refunds have been issued."
Federal budget signals shift to soon let labour groups launch trade challenges,"One of the country's largest unions says a small change promised in the federal budget could leave a large impact on efforts to prevent Canada from being flooded with cheap goods that threaten domestic industries.,Once the legislative changes are made, labour groups like the United Steelworkers union can launch trade challenges without the need to have an employer join the cause.,The change is something the Steelworkers union has pushed with public servants for five years to fall in line with other nations, including the United States.,Since 2017, workers have been able to appear before tribunals hearing allegations about the dumping of goods, as it's known in trade talk, but decisions were largely based on the industry impact.,Meg Gingrich, assistant to the Steelworkers' national director, said the change will also mean that dispute panels will look at the impact on workers when adjudicating any dispute — beyond whether there are layoffs.,She said the impacts could include companies not keeping up with pension payments or pushing for bargaining concessions because cheap goods are eating into revenues — ""whatever it may be that's injuring workers."",""We didn't have that before. We'll have to see what the details actually are, but it's looking promising in terms of what we'll be able to see with these reforms,"" said Gingrich, whose union represents some 225,000 workers in Canada.,Last year, the government began looking at updating trade dispute rules to give workers greater participation in the process.,An analysis at the time for business law firm McMillan LLP suggested that adopting the changes could not only help bring the view of workers into dispute hearings, but also help businesses by bolstering industry arguments.,The Steelworkers have only been involved in one case under the existing rules. The CBSA earlier this year launched an investigation after the union and Restwell Mattress Co. Ltd. filed a complaint about subsidized Chinese-produced mattresses entering Canada over the last three years.,The budget released earlier this month promised legislative changes that, once passed, would allow workers to file trade complaints if a country was unfairly dumping underpriced goods, or those that circumvent import duties, into the Canadian market.,It was part of a package of promises to revamp parts of Canada's trade remedy system that included $4.7 million over five years, starting this fiscal year, to the Canada Border Services Agency to help small- and medium-sized businesses navigate the dispute system.,""This is years of work paying off and years of our members going and testifying in these tribunals, and talking about the impact of unfair trade on their livelihoods,"" Gingrich said.,""It's to the point where Canada will have some of the most progressive trade laws in the world."""
Why prepared rotisserie chickens are cheaper than ones you cook yourself,"Walk into almost any Canadian grocery store and you smell it. Delicious, juicy, rotisserie chicken. ,It's just sitting there, like a beacon, promising shoppers a hearty meal they don't have to cook or clean up after.,The pre-cooked birds are priced between $8 to $12 at larger grocery chains in Canada, but barring a sale in the meat department, raw chickens can often cost more per bird at those same grocery outlets.,The lower price of rotisserie chickens compared to raw at many stores is despite the additional cost of spices, packaging, labour and energy for the convenient meal.,So, what the peck is going on? CBC Radio's , dove into the henhouse to find out.,Major Canadian chains, including Loblaws, Sobeys, Save-On-Foods, Costco and Metro declined to comment on pricing strategies for their chickens. ,However, Rowe Farms, a smaller grocery chain based in Ontario, agreed to share some inside information. It's been selling rotisserie chickens since 2008.,According to Rowe Farms, it might look like you're paying less for a cooked bird, but you're usually getting a smaller chicken. Raw birds in the cooler section usually weigh between 1.6 and 1.8 kilograms, while chickens destined for the rotisserie spit are about 1.2 kg.,Roasted chickens need to be around the same size to cook evenly on a grocery rotisserie, according to the University of Arksansas' Casey Owens. She's a professor of poultry (yes, that's a thing).,""If they [grocery stores] get a carcass or chicken that's a little bit larger than that, it may not reach that temperature in the the right amount of time. So it's going to be very important that those chickens that they're rotissering are very uniform in size for food safety purposes,"" said Owens, whose official title is professor of poultry science.,Rotisserie chickens are typically advertised with an average weight of 900 grams of cooked meat per chicken.,However even if smaller, a grocery store rotisserie can still be cheaper — by weight — than an uncooked chicken.,As an example, , picked up a cooked cluck at a Calgary Costco.,The rotisserie chicken was priced at $7.99. After removing its plastic packaging and ties, the prepared poultry was weighed on a kitchen scale. ,The roasted rotisserie chicken from Costco weighed 1.35 kg. As poultry ,, to calculate the pre-roasting raw weight of this bird 25 per cent was added to that weight. This meant a theoretical pre-rotisserie weight of 1.64 kg for the example bird purchased at Costco.,At $7.99 for 1.64 kg, the rotisserie bird would be priced at $4.88 per kilogram.,This compares to $6.49 per kilogram for a raw, whole chicken at the same store.,Buying a whole uncooked chicken at Costco will cost you 33 per cent more per kilogram than buying a rotisserie chicken from the same outlet.,One reason why Costco, and other retailers, can offer a discount on rotisserie chickens they've prepared in store is because they sell a lot of them.,Costco alone said it sold , globally in the 2021 fiscal year. The company sells so many, it's been reported the warehouse giant has built , to help maintain a steady supply of bird.,Retailers are also offering a product popular with consumers. According to poultry producers, chicken has been the most consumed ,, as well as ,, for years.,Rotisserie chickens are also a loss leader according to retailers such as Rowe Farms. This means grocers actually lose money on them, and sell them below cost as a way to get customers into stores to ostensibly buy more items., ""Our rotisserie chickens are priced the way they are as a convenience to our members. An oven roasted chicken is a fast and easy dinner option, and our members are likely going to fill their baskets with other items while they are buying a chicken,"" wrote Barb Munro, corporate communications adviser for Calgary Co-op, in an email to ,.,""It's a win-win for our members and our stores."",Experts say grocery stores also rely on knowing customer behaviour and needs, such as wanting to save time.,""When people are under time stress, they take a lot of mental shortcuts. And they often do not do price comparisons,"" said Andreas Boecker, a food economist at the University of Guelph.,""So that leaves the opportunity for the retailer. They can even design the store in a way that after you pick the rotisserie chicken, you see other items in the store and things that are complementary to it."",Potentially that means customers get a deal on a rotisserie chicken, but end up buying side dishes which aren't as good of a deal.,Think of grabbing the tray of mashed potatoes priced at double the cost of making it at home — but a customer grabs them, along with the cheap chicken, to save time.,""That's the other aspect. Do you love to cook and do you want to do it?"" asked poultry professor Casey Owens, who said she can't remember the last time she roasted a chicken.,""I'm a mom of two kids, 11 and 13. I don't have time to go home and rotisserie a chicken. Between baseball and soccer schedules. I don't have the time, but it's very easy for me to go to my local grocery store, pick one up, spend $5 or $6 (US) and have a good meal."",And that's what, according to Owens, makes the rotisserie chicken — kind of priceless.,Cost of Living"
Home sales and average prices fell in March,"Canada's red-hot real estate market showed signs of cooling down in March as both the number of homes sold and the average selling price declined from the previous month's level.,The Canadian Real Estate Association (CREA), which represents more than 100,000 realtors across the country, reported Tuesday that on average, homes sold on the Multiple Listings Service went for $796,000. ,That's down about three per cent from the all-time high of $816,720 the previous month, and a noteworthy change in direction after the unprecedented tear that Canadian home prices have been on for the better part of two years now.,""While the market remains historically very active, March definitely saw a slowdown compared to February in terms of both activity and price growth,"" CREA chair Jill Oudil said. ""One month does not make a trend, so we'll have to wait and see if this is the beginning of the long-awaited cooling off of this market."",Average selling prices were down, as was the actual volume of homes sold. Total sales came in 5.4 per cent lower in March than they did in February. All told, some 54,957 homes were sold during the month. That's a decline of 16 per cent from the all time record of nearly 67,000 that did in the same month a year earlier. ,March is typically a strong month for home sales, but instead the month represented the biggest one-month decline in sales since June.,Though down from February's level, the average selling price is still up by more than 11 per cent compared to where it was a year ago. But that pace of increase is slowing, too. March's annual increase is about half the ,.,CREA says the national average price number can be misleading because it is so easily skewed by sales in big expensive markets like Toronto and Vancouver. So the realtor group trumpets a different number, known as the House Price Index (HPI), as a better gauge of the market because it adjusts for the volume and type of housing.,The HPI increased by one per cent in March, a ""marked slowdown"" from the 3.5 per cent increase in February, CREA noted. As is the case with the national average, however, the HPI is still up an eye-popping 27 per cent on an annual basis.,Nasma Ali says she's seen signs of a slowdown in Toronto, where she's a broker and founder of One Group Real Estate. While the numbers released Tuesday are for March, she says the trend has become even more pronounced in April, where ""buyer fatigue"" may be setting in after the Bank of Canada , its interest rate , in the last two months, and is expected to raise it even more in the coming months.,""I just think that this is kind of the beginning of a slower market, maybe a more balanced market,"" she told CBC News in an interview. ""We're kind of at the top ... we've just started to go down a little bit [but] I just don't know how long or how low that that downward will be."",Toronto home owner Syed Azhar Shah is one would-be seller who's having to adjust their expectations down a little in the current market. Shah listed a home for sale in February, but recently took it off the market after being underwhelmed by what he was being offered.,""We had only about nine showings, and there was only one offer, which was much below what we wanted,"" Shah told CBC News.,Shah says he may consider relisting the home in a year or so, but regardless he says he's ""quite disappointed"" at the moment. ""We are not going to get the prices ... that we were getting in February,"" Shah said.,Another formerly red hot large market, Vancouver, is also showing signs of cooling. ,The average selling price in Greater Vancouver was $1.29 million in March, down slightly from $1.32 million the previous month. Prices are still up from $1.16 million a year ago, but realtor Leo Wilke with Engel & Völkers says the pace of increase is slowing. ""The escalation that was happening during COVID was just so crazy,"" he told CBC News in a recent interview. ""One guy sells for X, the next guy gets more, the next guy gets more."",""Now, what we've seen is we've kind of levelled off from that,"" Wilk said.,Robert Kavcic, an economist with Bank of Montreal, says it's too early to tell if March represents a blip or the start of a new downward trend, but he suspects the latter.,""Keep in mind that last March was the absolute summit of the pandemic demand mountain, so the reported year-over-year drop is somewhat exaggerated,"" he said in a note to clients Tuesday. ""There are signs that the appetite is pulling back amid higher mortgage rates, and the decline in March might be the first in a longer series of softening trends."""
Twitter says 'poison pill' defence makes 'coercive' takeover difficult,"Twitter's board of directors says it adopted a ""poison pill"" defence in order to protect the social media platform from ""coercive or otherwise unfair"" takeover tactics. ,The company announced the move Friday and provided more details in a regulatory filing early Monday. On Thursday, Tesla CEO Elon Musk disclosed an offer to buy the company for $43 billion US, or $54.20 per share. He currently owns about nine per cent of Twitter shares. ,A rights agreement enacted by the board would give shareholders as of April 25 the right to buy one one-thousandth of a share of preferred stock for each common share they own, at a price of $210 if any person or group of investors acquire 15 per cent or more of the company's shares without board approval, Twitter said in a Monday filing with the U.S. Securities and Exchange Commission. ,The preferred stock would have the same voting rights as a common share. It would give existing shareholders more votes, making it harder for an investor to take control of the company. The filing does not specifically mention Musk. ,""The effect of the agreement may be to ""render more difficult or discourage a merger, tender or exchange offer or other business combination involving the company,"" the filing said.,Despite the poison pill defence, the board is still leaving open the possibility of negotiating with Musk or another suitor. The filing says the rights agreement should not interfere with any merger, offer or other business combination approved by the board.,Twitter's board hasn't formally rejected Musk's offer. Wedbush Securities analyst Daniel Ives said it was interesting that Twitter first filed the shareholder rights plan before turning Musk down, but he expects the rejection to come in the next 24 to 48 hours.,""Taking Twitter private at $54.20 should be up to shareholders, not the board,"" Musk tweeted on Thursday.,He also said: ""If the current Twitter board takes actions contrary to shareholder interests, they would be breaching their fiduciary duty. The liability they would thereby assume would be titanic in scale."",Twitter said in a filing Thursday that Musk offered to buy the company for more than $43 billion. Musk said Twitter ""needs to be transformed as a private company"" in order to build trust with its users and do better at serving what he calls the ""societal imperative"" of free speech.,Musk called the offer final, although he provided no details on financing. Such details could improve his chances of buying the company. Musk likely could raise some of the money by borrowing billions using his stakes in Tesla and SpaceX as collateral.,Shares of Twitter rose nearly three per cent to $46.38 in Monday morning trading, still $7.82 shy of Musk's offer. That's a sign that investors are skeptical of whether Musk can pull off the deal. ,Musk revealed in regulatory filings over recent weeks that he'd been buying Twitter shares in almost daily batches starting Jan. 31, ending up with a stake of about nine per cent. Only Vanguard Group controls more Twitter shares. A lawsuit filed Tuesday in New York federal court alleged Musk illegally delayed disclosing his stake in the social media company so he could buy more shares at lower prices.,On Twitter Monday, Musk wrote that board members would get no pay if his offer is successful. That would save Twitter about $3 million per year, he wrote. "
This landlord bought a Toronto-area farm 2 years ago. But the tenant has barred him from the property,"A man who bought a 40-hectare farm in the Toronto area two years ago says he's still waiting to move in because a tenant is refusing to leave — and he says the body that's supposed to rule on landlord-tenant disputes has been too slow to act.,Sarbjit Sra, a real estate broker from nearby Brampton, bought the property in April of 2020. He first went to Ontario's Landlord and Tenant Board (LTB) in June of that year seeking an eviction order on the grounds that he and his family want to live on the property, located about 60 kilometres northwest of Toronto. But the board didn't rule in his favour until June of 2021 and the order can't be acted upon until the LTB issues it in writing.,Almost 10 months later, Sra is still waiting for that written order.,""I can't sleep at night right now,"" he said. ""Right now, we are very frustrated."",Meanwhile, he says, he's facing expenses of about $10,000 a month to pay mortgages, taxes and utilities on the farm, which he bought for $1.75 million. He says the tenant refuses to pay rent or allow him onto the property to inspect it for damage. Organizations that represent landlords in Ontario say the situation underscores a growing problem — the LTB's seeming inability to quickly rule on these disputes and promptly evict problem tenants. ,Since that first application, an exasperated Sra has tried to speed things up by applying for two more eviction orders. In November of 2020, he filed a request on the grounds that the man hadn't been paying his rent. That was denied but the board did order the tenant to pay back rent of almost $11,000. Sra says he hasn't seen a penny of it. ,So Sra then filed for a third eviction order, also based on non-payment of rent, in June of 2021. It was heard by the board this past January, and this time, the LTB agreed — in writing — to evict the tenant. But about a month ago, Sra was notified that order had been set aside while it was reviewed at the tenant's request. ,Sra and the paralegal who represents him say it all could have been avoided if the board had only issued a written order on his original application in a timely fashion. An LTB spokesperson declined CBC Toronto's request for an interview to explain the delay, but in the past, the board has acknowledged that the COVID-19 pandemic has led to a backlog of cases.,""Due to shifting of staff resources, there will be a substantive delay [in] processing and scheduling some types of applications,"" a statement on the board's website reads. ""Orders will be issued between 20 to 60 days depending on the application type."",But Ajmer Singh Mandur, the paralegal representing Sra, told CBC Toronto he's rarely seen an applicant wait this long for a written order.,""I can say in my practice for the last 11 years that I have never come across such a bizarre situation,"" he said.,CBC Toronto has requested an interview with the tenant through his legal representative. So far, there has been no response.,The farm includes a barn, outbuildings and two adjacent rental units — the farmhouse and a connecting apartment. Sra says the lease calls for a monthly rent of $1,140. The LTB has calculated the tenant has racked up back rent of almost $23,000.,""Property owners who purchase a home that they wish to live in should not be made to wait for up to a year or more ... and should not be prejudiced if tenants refuse to pay the rent,"" said Rose Marie, vice-chair of an organization called the Small Ownership Landlords of Ontario.,""Rental housing providers are starting to wake up the fact that there is something seriously wrong with the system — it is broken. We look forward to changes in the near future. Not next year, now."",Marie says from 2019 to 2020, there were 41,621 eviction applications aimed at tenants who were refusing to pay their rent — resulting in losses to landlords of about $1.45 billion. The following year, due to the pandemic, the number of applications dropped to just 24,400, which translates to loss of rental income of about $856 million, Marie says.,Her organization is calling on the LTB to hold timelier, more efficient hearings.,""We need changes with the speed of light,"" she said.,""There's something broken inside that needs to be fixed,"" Mandur said. ""COVID has had its effect on these cases, but that has to do with scheduling; nothing to do with writing decisions."",On top of everything else, Sra says he's also tried to inspect the property, after giving 24 hours notice, ""six or seven times,"" but has been barred by the tenant.,""It's a nightmare for me,"" Sra says.,""I believe in our judicial system. I believe in the courts, I believe in the LTB and hopefully we will get possession one day."""
"Sunwing flights delayed, passengers stranded amid network-wide issue","A technical issue has delayed a number of Sunwing Airline flights, stranding some Canadian travellers as the issue hampers check-in and boarding.,In a statement Monday, a spokesperson for Sunwing Travel Group said the airline's systems provider is experiencing a network-wide system issue, affecting carriers globally, including Sunwing flights.,Sunwing's website shows virtually all flights scheduled for Monday — more than 40 — have been delayed, some by more than 12 hours.,""We sincerely regret the impact this is having on our customers' travel plans and are working diligently with our technology provider to resolve the issue as soon as possible,"" the statement reads.,Jean-Hugues Demers from Boucherville, Que., was stuck waiting in the lobby of a Cuban resort with his girlfriend and friends for several hours as a result.,The group left Montreal on April 6 for a week at the Paradiso resort in Varadero, Cuba. They were supposed to return to Canada by the end of the long weekend, until Demers learned their flight had been delayed.,""I just texted my boss this morning, telling him I'll be in tonight, but now I don't know,"" he said.,""The hotel has been very good to us…, "" he said. ""But it's still hot, and we want to know what happened."",By around 4:45 p.m. ET, Demers said he was on his way home.,Anne Estabrooks aid she and her children had been waiting at a Mexican airport for an hour before employees first told them the system had crashed. They were supposed to fly back to Vancouver early Monday.,""That turned into about six hours of sitting on the floor at the Mexico airport with no knowledge of what was going on whatsoever,"" she said. ,""Every time they give us an update, [they say], 'I'll tell you in an hour,'"" she said. ""That's happened six or seven times, and the information doesn't change after that hour."",Mario Marcil said he and his wife had been waiting since around 3 a.m. Monday at Toronto's Pearson International Airport to board their flight to Cuba. ,The pair bought their tickets for a Sunwing flight at 8 p.m. yesterday in the hopes of seeing Marcil's mother-in-law before she dies. ,Marcil said he'd been getting numerous calls from Cuba amid the delay asking when they would be arriving. At one point, he was told by a family member that she had only hours left to live. ,""We don't know if we're going to make it on time,"" Marcil said through tears.,Meanwhile, the airline says ""best attempts are being made"" to inform passengers of how their flights are affected and it's encouraging passengers with trips scheduled over the next day to check their flight status before heading to the airport. ,It says it is also co-ordinating hotel accommodations and airport transfers with its destination management company.,Maintaining a computer system is the airline's own responsibility, said Gábor Lukács, a passenger rights advocate. ,""There can be some truly exceptional responsibilities like being hacked like internet cables being cut accidentally, but airlines have to have contingencies,"" he said. ,When a passenger is delayed or a flight is cancelled for reasons within the carrier's control, he said, the passenger is owed not only meals, accommodation and swift transportation to their destination, but also up to , for the inconvenience. ,""If other airlines are unaffected, then Sunwing has to buy you a ticket at its own dime on other carriers' flights,"" he said.,Joaquin Chanchan, a Montrealer travelling to the Dominican Republic for a family reunion, said he's going to make sure he submits all the paperwork necessary to be reimbursed for losing a day of his trip. ,""We were going to arrive at noon, now it's at seven in the evening, so the first day of our vacation is lost,"" said Chanchan. ,""I do expect compensation for it."" ,Lukács says this is well within passengers' rights, and he urges them to be aware of airlines' lack of transparency about them. ,""You don't ask the airline about your rights, you tell them about your rights,"" he said."
"Energy transition will be challenging in era of public protests, regulatory hurdles","From carbon capture and hydrogen development to the accelerated rollout of wind and solar power and rapid electrification of transportation systems, the federal government has laid out an ambitious roadmap to get Canada to its climate target of cutting emissions by 40 per cent below 2005 levels by 2030, and net-zero emissions by 2050.,But overhauling this country's entire energy infrastructure in a short amount of time represents an unprecedented technical challenge that will cost hundreds of billions of dollars, experts say.,And pessimists are quick to point out that Canada doesn't have a good recent track record when it comes to getting ambitious, expensive infrastructure projects over the finish line.,In Alberta in particular — where the ghosts of cancelled pipeline projects still haunt the public consciousness — some observers believe this country has lost the political will and spirit of national unity that's required to get big things done.,""We've spent a decade making building anything extremely difficult, if not impossible,"" said Calgary-based energy analyst, oil services sector executive and consultant David Yager.,""Canada's recent history suggests these [net-zero] targets are aspirational, to say the least."",Yager points to Enbridge Inc.'s proposed Northern Gateway pipeline, which was quashed by the federal Liberals in 2016.,In 2017, the proposed $15.7-billion Energy East project was cancelled by TransCanada after being bogged down by regulatory delays, new environmental criteria, and opposition to the line along major sections of the proposed route.,Then in 2021, TC Energy's proposed Keystone XL pipeline project was cancelled by U.S. president Joe Biden — the culmination of a decade-plus battle that had pitted the energy industry against environmentalists opposed to the project.,There are many other high-profile examples of troubled Canadian energy projects, from the Coastal GasLink pipeline — the construction of which led to rail blockades across the country by Indigenous opponents of the project and their supporters — to Pacific Northwest LNG, a proposed liquefied natural gas terminal in Prince Rupert, B.C., which was scrapped by Malaysia's Petronas and partners in 2017 in part because of concerns raised by local Indigenous groups about the project's impact on salmon spawning grounds in the area.,While the Trans Mountain pipeline expansion is going ahead, the costs of that project have ballooned to $21.4 billion after being bought by the federal government for $4.5 billion in 2018.,Trans Mountain has been dogged by increased security costs, route changes to avoid culturally and environmentally sensitive areas, and scheduling delays related to permitting processes, among other issues.,Opponents of these projects say the cancellations and delays show the need to end reliance on the fossil fuel industry and move toward greener energy production.,But it isn't just oil and gas projects that are becoming increasingly difficult to build these days, Yager said. In Ontario, wind farm projects have been cancelled because they pose threats to bat populations.,In Quebec, a proposed hydro line that would have carried clean power to Massachusetts was scrapped after residents of tiny Maine refused to allow transmission through their state.,""You can't even build a cellphone tower anymore without running into opposition,"" Yager said. ""Where do you think you could put a new hydro dam nowadays? Nowhere."",Experts have suggested that Canada will have to double, perhaps even triple, the size of its electricity grid by 2050 in order to meet its net-zero goals.,That would require not just new transmission infrastructure, but interprovincial co-operation on new regional interties to help connect areas with access to clean power to areas still reliant on coal.,In addition, the federal government wants to increase Canadian production of critical minerals such as copper, aluminum and lithium in order to support a domestic supply chain for the electric vehicle industry.,The prospect is daunting, said Warren Mabee, director of the Institute for Energy and Environmental Policy at Queen's University in Kingston, Ont.,""All of these things have a footprint, and are going to be a challenge to implement,"" he said.,Canada isn't the only jurisdiction where large-scale infrastructure projects increasingly face regulatory and social licence challenges.,It's a similar story in the U.S. and in Europe, Mabee said, adding there's a real risk that companies in the clean energy space will default to the developing world or other jurisdictions where the rules aren't as tight and the public doesn't get as much of a say in where and how things are built.,He added he believes it's possible for Canada to advance its net-zero goals, but he said the government will need to clearly communicate what the vision is — and then have the political will to enforce it.,""The level of effort that's going to be required will be comparable to the COVID-19 pandemic response,"" Mabee said.,But Donna Kennedy-Glans, a former oil industry executive who served as Alberta's associate minister for electricity and renewable energy from 2013 to 2014, said she doesn't think projects carried out in the name of energy transition will come up against the same kind of hurdles that the oil and gas industry has faced in recent years.,She said while there are certainly people who oppose large-scale wind and solar farms, some of the biggest renewable energy projects in the world are blossoming across Alberta right now, and in general, the regulatory process has gone smoothly.,""Very few people are stepping up to try to stop this ... the people who complain are being viewed as being opposed to green energy, and that's really not a comfortable space to be in,"" Kennedy-Glans said.,She added that she believes even the large-scale expropriation of private land for new transmission lines, for example, will face relatively little political and regulatory pushback if it's carried out in the name of climate change.,""There will be a different level of political will to see that done,"" Kennedy-Glans said. ""I do think that people in affected communities will be upset by it ... but it's going to come down to a question of 'is this in the public interest and is it the right thing to do?'"""
